,loss,reconstruction_loss,kl_loss
0,0.0639910846948623,0.0521167702972888,0.0117951007559895
1,0.0435775481164455,0.0408799536526203,0.0026876595802605
2,0.0288603380322456,0.0276591647416353,0.0011970384512096
3,0.0275950226932764,0.0263626892119646,0.0012249246938154
4,0.0212930385023355,0.0210127849131822,0.0002789480495266
5,0.0183765441179275,0.0182427670806646,0.0001334408152615
6,0.0145631562918424,0.0144770313054323,8.589529898017645e-05
7,0.0115661239251494,0.0115033909678459,6.264654075494036e-05
8,0.0099220741540193,0.0098750991746783,4.707241168944165e-05
9,0.0084737641736865,0.008436506614089,3.741538603208028e-05
10,0.0076963738538324,0.0076654399745166,3.092139013460837e-05
11,0.0071254149079322,0.0071011991240084,2.418106851109769e-05
12,0.0063399393111467,0.0063199521973729,1.997319850488566e-05
13,0.0060063214041292,0.0059894751757383,1.68211008713115e-05
14,0.0049361381679773,0.0049221036024391,1.4010369341121988e-05
15,0.004415763542056,0.0044018449261784,1.390858324157307e-05
16,0.0039722984656691,0.0039516445249319,2.089653753500897e-05
17,0.0035848233383148,0.0035614289809018,2.330425377294887e-05
18,0.0033215433359146,0.0033032712526619,1.824307946662884e-05
19,0.0029120719991624,0.0028976777102798,1.4406954505830072e-05
20,0.0023584656883031,0.0023467112332582,1.173725468106568e-05
21,0.0023180786520242,0.0023082843981683,9.774833415576722e-06
22,0.0021321864333003,0.0021237828768789,8.385401088162325e-06
23,0.0020630180370062,0.0020537415985018,9.267945642932318e-06
24,0.0017554602818563,0.0017467745346948,8.71336305863224e-06
25,0.0014320013578981,0.0014241313328966,7.848024324630387e-06
26,0.0013807145878672,0.0013740875292569,6.622679393331055e-06
27,0.0013267255853861,0.0013194549828767,7.261391147039831e-06
28,0.0013510580174624,0.0013447210658341,6.353060143737821e-06
29,0.0011354739544913,0.0011270089307799,8.428620276390575e-06
30,0.001070431433618,0.0010644651483744,5.966623120912118e-06
31,0.000940567231737,0.0009342237608507,6.331107215373777e-06
32,0.0008663942571729,0.0008611791417934,5.247503395366948e-06
33,0.0008515329100191,0.0008452188922092,6.327508344838861e-06
34,0.000806936470326,0.0008017063373699,5.221768788032932e-06
35,0.0009394377702847,0.0009352986235171,4.138362783123739e-06
