,loss,val_loss,lr
0,0.40373972058296204,0.26121267676353455,0.0005
1,0.2481997311115265,0.24095982313156128,0.0005
2,0.23886440694332123,0.23677869141101837,0.0005
3,0.235581174492836,0.23390156030654907,0.0005
4,0.23005220293998718,0.23514029383659363,0.0005
5,0.21449632942676544,0.18841814994812012,0.0005
6,0.1795729696750641,0.16995440423488617,0.0005
7,0.16810545325279236,0.16278252005577087,0.0005
8,0.16172896325588226,0.15713775157928467,0.0005
9,0.15698152780532837,0.15401390194892883,0.0005
10,0.15357175469398499,0.15077495574951172,0.0005
11,0.15173569321632385,0.14984279870986938,0.0005
12,0.15083707869052887,0.14849616587162018,0.0005
13,0.14942777156829834,0.1471429169178009,0.0005
14,0.14766013622283936,0.14548711478710175,0.0005
15,0.1468696892261505,0.14490120112895966,0.0005
16,0.14574532210826874,0.14397405087947845,0.0005
17,0.14517827332019806,0.1434750258922577,0.0005
18,0.1446060985326767,0.1431739777326584,0.0005
19,0.14457309246063232,0.14349380135536194,0.0005
20,0.1445109248161316,0.1431204229593277,0.0005
21,0.14368149638175964,0.1422700434923172,0.0005
22,0.14342862367630005,0.14227567613124847,0.0005
23,0.14317992329597473,0.14206813275814056,0.0005
24,0.14301837980747223,0.1415078341960907,0.0005
25,0.14247754216194153,0.14117363095283508,0.0005
26,0.1422727406024933,0.14166630804538727,0.0005
27,0.1423303186893463,0.140890970826149,0.0005
28,0.1418539583683014,0.1417873650789261,0.0005
29,0.14191432297229767,0.14081181585788727,0.0005
30,0.1419285386800766,0.1406886726617813,0.0005
31,0.141356959939003,0.14034874737262726,0.0005
32,0.1411231905221939,0.14029715955257416,0.0005
33,0.14117178320884705,0.14013992249965668,0.0005
34,0.1409107744693756,0.14020022749900818,0.0005
35,0.14090202748775482,0.14046862721443176,0.0005
36,0.14078156650066376,0.13987743854522705,0.0005
37,0.1415387988090515,0.14157728850841522,0.0005
38,0.14097094535827637,0.14002251625061035,0.0005
39,0.14059418439865112,0.1399175375699997,0.0005
40,0.1404663473367691,0.13972041010856628,0.0005
