,loss,reconstruction_loss,kl_loss
278,8.355268073501065e-05,8.317543688463047e-05,3.752002157852985e-07
279,7.302113226614892e-05,7.283771265065297e-05,1.8618560204686219e-07
280,8.142417209455743e-05,8.121394057525322e-05,2.1017422113800421e-07
281,8.00952038844116e-05,7.976910274010152e-05,3.2838991614880797e-07
282,6.954810669412836e-05,6.919837323948741e-05,3.533086498919147e-07
283,7.4746974860318e-05,7.40939358365722e-05,6.480435104094795e-07
284,6.0140482673887163e-05,5.982571019558236e-05,3.1348187690127816e-07
285,6.0143844166304916e-05,5.992922160658054e-05,2.180743194912793e-07
286,7.026136881904677e-05,7.002281199675053e-05,2.3771825397034263e-07
287,6.261582166189328e-05,6.235116597963497e-05,2.690335350052919e-07
288,5.9477351896930486e-05,5.9287867770763114e-05,1.8952292180074437e-07
289,6.286067946348339e-05,6.254280015127733e-05,3.16082520157579e-07
290,9.426322503713891e-05,9.409953054273501e-05,1.641193563273191e-07
291,9.987194061977789e-05,9.895879338728264e-05,9.202777846439858e-07
292,8.156724652508274e-05,8.081494161160663e-05,7.473693699466821e-07
293,0.00011340327182551846,0.00011292547424091026,4.789266654370294e-07
294,0.00016342647722922266,0.00016237766249105334,1.0399846814834746e-06
295,0.00015272098244167864,0.0001524637482361868,2.5911137413459073e-07
296,0.00012844875163864344,0.00012821858399547637,2.2954660039431474e-07
297,0.00012387581227812916,0.00012367303133942187,2.0237125397670752e-07
298,0.00014645254123024642,0.00014628817734774202,1.6445595463210338e-07
299,0.00019645663269329816,0.00019617020734585822,2.9858290417905664e-07
300,0.0001507287088315934,0.00015026651090011,4.5858689645683626e-07
301,0.00012049765064148232,0.00012026252807117999,2.349539300894321e-07
302,0.00010695673699956387,0.00010671141353668645,2.4534105591556e-07
303,8.392089512199163e-05,8.340323984157294e-05,5.15326291861129e-07
304,8.7418855400756e-05,8.671611431054771e-05,6.976137569836283e-07
305,0.00012326941941864789,0.0001228282490046695,4.3809640715153364e-07
306,0.00010650834155967459,0.00010630184260662645,2.0587705762409314e-07
307,8.279395115096122e-05,8.263073686975986e-05,1.629784094347997e-07
308,9.334229252999648e-05,9.312943438999355e-05,2.1183549847592076e-07
309,9.558311285218224e-05,9.536033030599356e-05,2.221506889554803e-07
310,8.483999408781528e-05,8.425224950769916e-05,5.888376222173974e-07
311,7.485907553927973e-05,7.464182999683544e-05,2.1625893964483112e-07
312,5.3801177273271605e-05,5.363916716305539e-05,1.622534853140678e-07
313,5.197329301154241e-05,5.1656494179042056e-05,3.1445810577679367e-07
314,5.456856160890311e-05,5.4376669140765443e-05,1.9167768527950102e-07
315,4.55365443485789e-05,4.541141606750898e-05,1.2522529857506015e-07
316,4.622682899935171e-05,4.6105273213470355e-05,1.2123395265462023e-07
317,5.264359788270667e-05,5.254636562312953e-05,9.728510264039869e-08
318,5.165601396583952e-05,5.1525090384529904e-05,1.3057639591806947e-07
319,5.6928780395537615e-05,5.658845111611299e-05,3.398438934709702e-07
320,5.9663823776645586e-05,5.952615538262762e-05,1.376113658579925e-07
321,5.719985711039044e-05,5.695554136764258e-05,2.442480706577044e-07
322,6.318623491097242e-05,6.295137427514419e-05,2.3382719405162788e-07
323,8.387272828258574e-05,8.357792103197426e-05,2.96215176831538e-07
324,7.827016088413075e-05,7.786969217704609e-05,4.0114278476721665e-07
325,9.618663170840591e-05,9.536345896776766e-05,8.163479492395709e-07
326,0.00012346339644864202,0.0001228096371050924,6.526763627334731e-07
327,0.00013291185314301401,0.00013231499178800732,6.020433716003026e-07
328,0.00013748052879236639,0.0001370677346130833,4.116936622722278e-07
329,0.00020505911379586905,0.00020477957150433213,2.788117114960187e-07
330,0.00025146003463305533,0.00025096951867453754,5.014791781832173e-07
331,0.00023789085389580578,0.00023702798353042454,8.557935302633268e-07
332,0.00019875014550052583,0.00019835034618154168,3.9700060483482957e-07
333,0.00020941696129739285,0.00020929872698616236,1.1763572160816693e-07
334,0.0001919867063406855,0.00019189651357010007,9.072913087493362e-08
335,0.00018113334954250604,0.0001810307294363156,1.0240842129860539e-07
336,0.00021068697969894856,0.00021057412959635258,1.1305453995191783e-07
337,0.0001548318105051294,0.0001547298743389547,1.0169440400886742e-07
338,0.00014457925863098353,0.00014449328591581434,8.60726885321128e-08
339,0.00010368325456511229,0.00010358489089412615,9.808980649950172e-08
340,8.074669312918559e-05,8.056154183577746e-05,1.849011965759928e-07
341,6.904788460815325e-05,6.894332182127982e-05,1.0470829892028632e-07
342,5.453358608065173e-05,5.443577902042307e-05,9.818494106639264e-08
343,4.957709461450577e-05,4.9429228965891525e-05,1.4818458282661595e-07
344,4.3365311285015196e-05,4.3270658352412283e-05,9.507521525620177e-08
345,5.780639185104519e-05,5.760444764746353e-05,2.0093693819944747e-07
346,8.072298805927858e-05,8.057102240854874e-05,1.5152940591178776e-07
347,6.080662933527492e-05,6.0626229242188856e-05,1.8052449490824074e-07
348,4.845322109758854e-05,4.8202306061284617e-05,2.5267033265663486e-07
349,5.5540403991471976e-05,5.534679439733736e-05,1.9266657602656778e-07
350,7.99327390268445e-05,7.98192122601904e-05,1.1448814518644213e-07
351,6.480521551566198e-05,6.454715185100213e-05,2.567794012975355e-07
352,7.326300692511722e-05,7.312589877983555e-05,1.3749904326232354e-07
353,7.791246025590226e-05,7.767546776449308e-05,2.390262068274751e-07
354,9.503382170805708e-05,9.46681757341139e-05,3.6500870237432537e-07
355,0.00010944170935545117,0.00010915406892308965,2.911086767198867e-07
356,0.000132235320052132,0.00013094875612296164,1.2780844826920656e-06
357,0.00014491194451693445,0.00014447547437157482,4.3825204443237453e-07
358,0.00015265894762706012,0.00015237994375638664,2.790837356769771e-07
359,0.00014651140372734517,0.00014636402192991227,1.4712480833622976e-07
360,0.00012512304238043725,0.0001249282358912751,1.9458956046491949e-07
361,0.00010065344395115972,0.00010038755863206461,2.6439471412231796e-07
362,7.755111437290907e-05,7.733984239166602e-05,2.105364558246947e-07
363,7.972878665896133e-05,7.957032357808203e-05,1.5782629247951263e-07
364,6.661635416094214e-05,6.631029100390151e-05,3.099709147136309e-07
365,5.1519560656743124e-05,5.131673606229015e-05,2.0189460769870493e-07
366,5.485608198796399e-05,5.470054020406678e-05,1.549697969949193e-07
367,4.223408177495003e-05,4.212143539916724e-05,1.1216916817602396e-07
